week_end_date,case_7d_avg
2021-08-01,4
2021-08-08,16
2021-08-15,11
2021-08-22,30
2021-08-29,69
2021-09-05,44
2021-09-12,28
2021-09-19,25
2021-09-26,22
2021-10-03,33
2021-10-10,47
2021-10-17,65
2021-10-24,107
2021-10-31,130
2021-11-07,159
2021-11-14,188
2021-11-21,197
2021-11-28,185
2021-12-05,130
2021-12-12,103
2021-12-19,80
2021-12-26,64
2022-01-02,66
2022-01-09,67
2022-01-16,67
2022-01-23,80
2022-01-30,136
2022-02-06,232
2022-02-13,510
2022-02-20,1693
2022-02-27,9404
2022-03-06,19968
2022-03-13,19571
2022-03-20,17144
2022-03-27,16101
2022-04-03,13221
2022-04-10,10173
2022-04-17,7968
2022-04-24,8340
2022-05-01,7567
2022-05-08,7506
2022-05-15,7715
2022-05-22,7702
2022-05-29,6876
2022-06-05,6564
2022-06-12,5925
2022-06-19,4908
2022-06-26,5184
2022-07-03,7186
2022-07-10,9415
2022-07-17,9876
2022-07-24,8716
2022-07-31,7163
