week_end_date,Region,case_7d_avg
2021-10-17,Auckland,78
2021-10-17,Waikato,3
2021-10-17,NA,1
2021-10-24,Auckland,91
2021-10-24,Canterbury,2
2021-10-24,Marlborough,1
2021-10-24,Northland,2
2021-10-24,Waikato,6
2021-10-24,NA,1
2021-10-31,Auckland,114
2021-10-31,Bay of Plenty,2
2021-10-31,Canterbury,3
2021-10-31,Northland,2
2021-10-31,Waikato,5
2021-10-31,NA,2
2021-11-07,Auckland,143
2021-11-07,Bay of Plenty,1
2021-11-07,Northland,2
2021-11-07,Waikato,6
2021-11-07,Wellington,2
2021-11-07,NA,1
2021-11-14,Auckland,162
2021-11-14,Bay of Plenty,1
2021-11-14,Canterbury,1
2021-11-14,Manawatu-Whanganui,2
2021-11-14,Northland,4
2021-11-14,Taranaki,6
2021-11-14,Waikato,13
2021-11-14,NA,1
2021-11-21,Auckland,162
2021-11-21,Bay of Plenty,4
2021-11-21,Canterbury,1
2021-11-21,Manawatu-Whanganui,1
2021-11-21,Nelson,1
2021-11-21,Northland,3
2021-11-21,Waikato,17
2021-11-21,Wellington,1
2021-11-21,NA,2
2021-11-28,Auckland,154
2021-11-28,Bay of Plenty,6
2021-11-28,Canterbury,3
2021-11-28,Hawke's Bay,1
2021-11-28,Manawatu-Whanganui,1
2021-11-28,Northland,3
2021-11-28,Waikato,14
2021-11-28,Wellington,1
2021-11-28,NA,1
2021-12-05,Auckland,97
2021-12-05,Bay of Plenty,6
2021-12-05,Canterbury,2
2021-12-05,Hawke's Bay,2
2021-12-05,Manawatu-Whanganui,1
2021-12-05,Nelson,2
2021-12-05,Northland,2
2021-12-05,Taranaki,1
2021-12-05,Tasman,2
2021-12-05,Waikato,12
2021-12-05,Wellington,1
2021-12-05,NA,1
2021-12-12,Auckland,76
2021-12-12,Bay of Plenty,5
2021-12-12,Canterbury,2
2021-12-12,Manawatu-Whanganui,1
2021-12-12,Nelson,1
2021-12-12,Northland,2
2021-12-12,Southland,1
2021-12-12,Taranaki,1
2021-12-12,Tasman,2
2021-12-12,Waikato,9
2021-12-12,NA,1
2021-12-19,Auckland,52
2021-12-19,Bay of Plenty,9
2021-12-19,Canterbury,2
2021-12-19,Manawatu-Whanganui,1
2021-12-19,Northland,2
2021-12-19,Taranaki,5
2021-12-19,Waikato,8
2021-12-19,Wellington,1
2021-12-26,Auckland,37
2021-12-26,Bay of Plenty,10
2021-12-26,Canterbury,2
2021-12-26,Gisborne,2
2021-12-26,Manawatu-Whanganui,1
2021-12-26,Northland,2
2021-12-26,Taranaki,1
2021-12-26,Waikato,7
2021-12-26,Wellington,1
2021-12-26,NA,1
2022-01-02,Auckland,36
2022-01-02,Bay of Plenty,11
2022-01-02,Canterbury,3
2022-01-02,Gisborne,1
2022-01-02,Hawke's Bay,1
2022-01-02,Northland,4
2022-01-02,Waikato,8
2022-01-02,Wellington,1
2022-01-02,NA,1
2022-01-09,Auckland,40
