week_end_date,SampleLocation,case_7d_avg
2021-06-06,AU_Eastern,1
2021-06-06,AU_SouthWestern,1
2021-06-06,CA_Christchurch,0
2021-06-13,AU_Eastern,3
2021-06-13,AU_SouthWestern,1
2021-06-13,CA_Christchurch,0
2021-06-13,OT_Queenstown,0
2021-06-20,AU_Eastern,1
2021-06-20,AU_SouthWestern,0
2021-06-20,CA_Christchurch,0
2021-06-27,AU_Eastern,2
2021-06-27,AU_SouthWestern,2
2021-06-27,CA_Christchurch,0
2021-06-27,WK_Hamilton,0
2021-07-04,AU_Eastern,3
2021-07-04,AU_SouthWestern,1
2021-07-04,CA_Christchurch,0
2021-07-04,WK_Hamilton,0
2021-07-11,AU_Eastern,1
2021-07-11,AU_SouthWestern,1
2021-07-11,WG_MoaPoint,0
2021-07-11,WK_Hamilton,0
2021-07-18,AU_Eastern,2
2021-07-18,AU_SouthWestern,1
2021-07-18,CA_Christchurch,2
2021-07-18,WG_MoaPoint,2
2021-07-18,WK_Hamilton,0
2021-07-25,AU_Eastern,1
2021-07-25,AU_SouthWestern,1
2021-07-25,CA_Christchurch,1
2021-07-25,SO_Bluff,2
2021-08-01,AU_Eastern,2
2021-08-01,AU_SouthWestern,1
2021-08-01,CA_Christchurch,1
2021-08-01,WK_Hamilton,0
2021-08-08,AU_Eastern,1
2021-08-08,AU_SouthWestern,1
2021-08-08,BP_TeMaunga,2
2021-08-08,CA_Christchurch,0
2021-08-15,AU_Eastern,3
2021-08-15,AU_SouthWestern,1
2021-08-15,CA_Christchurch,0
2021-08-22,AU_ArmyBay,0
2021-08-22,AU_Eastern,8
2021-08-22,AU_Pukekohe,0
2021-08-22,AU_Rosedale,2
2021-08-22,AU_SouthWestern,3
2021-08-22,AU_Western,4
2021-08-22,CA_Christchurch,1
2021-08-22,WG_MoaPoint,2
2021-08-29,AU_Eastern,32
2021-08-29,AU_Rosedale,3
2021-08-29,AU_SnellsAlgies,0
2021-08-29,AU_SouthWestern,18
2021-08-29,AU_Warkworth,1
2021-08-29,AU_Western,12
2021-08-29,CA_Christchurch,1
2021-08-29,WG_MoaPoint,1
2021-08-29,WK_Hamilton,0
2021-09-05,AU_Eastern,21
2021-09-05,AU_Rosedale,0
2021-09-05,AU_SnellsAlgies,0
2021-09-05,AU_SouthWestern,8
2021-09-05,AU_Warkworth,0
2021-09-05,AU_Western,8
2021-09-05,WG_MoaPoint,0
2021-09-12,AU_Eastern,13
2021-09-12,AU_Rosedale,0
2021-09-12,AU_SouthWestern,6
2021-09-12,AU_Warkworth,0
2021-09-12,AU_Western,3
2021-09-12,CA_Christchurch,1
2021-09-19,AU_Eastern,13
2021-09-19,AU_Pukekohe,1
2021-09-19,AU_SouthWestern,3
2021-09-19,AU_Western,1
2021-09-19,CA_Christchurch,1
2021-09-26,AU_ArmyBay,0
2021-09-26,AU_Eastern,10
2021-09-26,AU_Rosedale,1
2021-09-26,AU_SouthWestern,3
2021-09-26,AU_Western,1
2021-09-26,CA_Christchurch,0
2021-10-03,AU_ArmyBay,0
2021-10-03,AU_Eastern,13
2021-10-03,AU_Pukekohe,0
2021-10-03,AU_Rosedale,1
2021-10-03,AU_SouthWestern,3
2021-10-03,AU_Western,6
2021-10-03,WG_MoaPoint,0
2021-10-03,WK_Hamilton,0
2021-10-10,AU_ArmyBay,0
2021-10-10,AU_Eastern,15
2021-10-10,AU_Omaha,0
2021-10-10,AU_Pukekohe,0
2021-10-10,AU_Rosedale,3
2021-10-10,AU_SouthWestern,7
2021-10-10,AU_Waiuku,0
2021-10-10,AU_Western,8
2021-10-10,CA_Christchurch,0
2021-10-10,WG_MoaPoint,0
2021-10-10,WK_Hamilton,2
2021-10-17,AU_ArmyBay,1
2021-10-17,AU_Beachlands,0
2021-10-17,AU_ClarksBeach,0
2021-10-17,AU_Eastern,16
2021-10-17,AU_Pukekohe,1
2021-10-17,AU_Rosedale,7
2021-10-17,AU_SouthWestern,10
2021-10-17,AU_Wellsford,0
2021-10-17,AU_Western,17
2021-10-17,BP_Rotorua,0
2021-10-17,CA_Christchurch,0
2021-10-17,WK_Hamilton,1
2021-10-17,WK_TeAwamutu,0
2021-10-24,AU_ArmyBay,2
2021-10-24,AU_Eastern,29
2021-10-24,AU_Helensville,0
2021-10-24,AU_Rosedale,11
2021-10-24,AU_SnellsAlgies,0
2021-10-24,AU_SouthWestern,18
2021-10-24,AU_Waiuku,0
2021-10-24,AU_Western,26
2021-10-24,CA_Christchurch,1
2021-10-24,MA_Blenheim,0
2021-10-24,NO_Rawene,0
2021-10-24,WK_Cambridge,0
2021-10-24,WK_Hamilton,1
2021-10-24,WK_Otorohanga,0
2021-10-24,WK_TeAwamutu,3
2021-10-31,AU_ArmyBay,2
2021-10-31,AU_Beachlands,1
2021-10-31,AU_Eastern,38
2021-10-31,AU_Helensville,1
2021-10-31,AU_Omaha,0
2021-10-31,AU_Pukekohe,0
2021-10-31,AU_Rosedale,9
2021-10-31,AU_SnellsAlgies,1
2021-10-31,AU_SouthWestern,21
2021-10-31,AU_Waiuku,0
2021-10-31,AU_Wellsford,0
2021-10-31,AU_Western,33
2021-10-31,BP_Rotorua,0
2021-10-31,CA_Christchurch,2
2021-10-31,WK_Hamilton,1
2021-10-31,WK_Otorohanga,1
2021-10-31,WK_TeAwamutu,1
2021-11-07,AU_ArmyBay,2
2021-11-07,AU_ClarksBeach,0
2021-11-07,AU_Eastern,56
2021-11-07,AU_Helensville,0
2021-11-07,AU_Omaha,0
2021-11-07,AU_Pukekohe,0
2021-11-07,AU_Rosedale,12
2021-11-07,AU_SnellsAlgies,0
2021-11-07,AU_SouthWestern,26
2021-11-07,AU_Waiuku,0
2021-11-07,AU_Warkworth,0
2021-11-07,AU_Wellsford,0
2021-11-07,AU_Western,40
2021-11-07,BP_Rotorua,1
2021-11-07,NO_Kaikohe,0
2021-11-07,NO_Kaitaia,1
2021-11-07,NO_Whangarei,0
2021-11-07,WG_MoaPoint,0
2021-11-07,WK_Hamilton,2
2021-11-07,WK_Otorohanga,1
2021-11-07,WK_TeAwamutu,1
2021-11-14,AU_ArmyBay,2
2021-11-14,AU_ClarksBeach,0
2021-11-14,AU_Eastern,55
2021-11-14,AU_Helensville,1
2021-11-14,AU_Omaha,0
2021-11-14,AU_Pukekohe,9
2021-11-14,AU_Rosedale,12
2021-11-14,AU_SouthWestern,30
2021-11-14,AU_Waiuku,0
2021-11-14,AU_Warkworth,0
2021-11-14,AU_Wellsford,0
2021-11-14,AU_Western,42
2021-11-14,BP_Rotorua,1
2021-11-14,CA_Christchurch,1
2021-11-14,NO_Dargaville,1
2021-11-14,NO_Kaikohe,0
2021-11-14,NO_Kaitaia,1
2021-11-14,NO_Whangarei,0
2021-11-14,TK_Stratford,1
2021-11-14,WK_Cambridge,0
2021-11-14,WK_Hamilton,5
2021-11-14,WK_Otorohanga,3
2021-11-14,WK_Taupo,0
2021-11-21,AU_ArmyBay,1
2021-11-21,AU_Beachlands,0
2021-11-21,AU_ClarksBeach,1
2021-11-21,AU_Eastern,61
2021-11-21,AU_Helensville,1
2021-11-21,AU_Omaha,0
2021-11-21,AU_Pukekohe,14
2021-11-21,AU_Rosedale,5
2021-11-21,AU_SnellsAlgies,0
2021-11-21,AU_SouthWestern,35
2021-11-21,AU_Waiuku,0
2021-11-21,AU_Warkworth,0
2021-11-21,AU_Wellsford,0
2021-11-21,AU_Western,31
2021-11-21,BP_Rotorua,0
2021-11-21,BP_Tauranga,1
2021-11-21,BP_TeMaunga,1
2021-11-21,CA_Christchurch,1
2021-11-21,MW_PalmerstonNorth,0
2021-11-21,NE_Nelson,0
2021-11-21,NO_Dargaville,1
2021-11-21,NO_Kaikohe,0
2021-11-21,NO_Kaitaia,1
2021-11-21,NO_Ruakaka,0
2021-11-21,NO_Whangarei,0
2021-11-21,WG_Masterton,0
2021-11-21,WG_MoaPoint,0
2021-11-21,WK_Cambridge,1
2021-11-21,WK_Hamilton,5
2021-11-21,WK_Otorohanga,2
2021-11-21,WK_Taupo,0
2021-11-21,WK_TeAwamutu,0
2021-11-21,WK_Thames,0
2021-11-21,WK_Turangi,0
2021-11-28,AU_ArmyBay,1
2021-11-28,AU_Beachlands,0
2021-11-28,AU_Eastern,60
2021-11-28,AU_Helensville,3
2021-11-28,AU_Omaha,0
2021-11-28,AU_Pukekohe,6
2021-11-28,AU_Rosedale,5
2021-11-28,AU_SouthWestern,37
2021-11-28,AU_Waiuku,0
2021-11-28,AU_Wellsford,0
2021-11-28,AU_Western,28
2021-11-28,BP_Kawerau,0
2021-11-28,BP_Rotorua,1
2021-11-28,BP_Tauranga,1
2021-11-28,BP_TeMaunga,1
2021-11-28,BP_TePuke,0
2021-11-28,BP_Whakatane,0
2021-11-28,CA_Christchurch,1
2021-11-28,HB_Hastings,0
2021-11-28,MW_Pahiatua,0
2021-11-28,NO_Kaikohe,1
2021-11-28,NO_Kaitaia,0
2021-11-28,NO_Ruakaka,0
2021-11-28,NO_Whangarei,0
2021-11-28,WG_MoaPoint,0
2021-11-28,WK_Cambridge,0
2021-11-28,WK_Hamilton,2
2021-11-28,WK_Otorohanga,0
2021-11-28,WK_Taupo,0
2021-11-28,WK_Tokoroa,0
2021-12-05,AU_ArmyBay,0
2021-12-05,AU_Eastern,38
2021-12-05,AU_Helensville,2
2021-12-05,AU_Pukekohe,1
2021-12-05,AU_Rosedale,4
2021-12-05,AU_SouthWestern,26
2021-12-05,AU_Waiuku,0
2021-12-05,AU_Western,17
2021-12-05,BP_Maketu,1
2021-12-05,BP_Rotorua,0
2021-12-05,BP_Tauranga,1
2021-12-05,BP_TeMaunga,1
2021-12-05,BP_TePuke,0
2021-12-05,CA_Christchurch,1
2021-12-05,MW_Whanganui,0
2021-12-05,NE_BellIsland,1
2021-12-05,NE_Nelson,1
2021-12-05,NO_Kaitaia,1
2021-12-05,NO_Kawakawa,0
2021-12-05,NO_Whangarei,0
2021-12-05,TK_NewPlymouth,0
2021-12-05,TS_Motueka,0
2021-12-05,WG_MoaPoint,0
2021-12-05,WG_Seaview,0
2021-12-05,WK_Hamilton,1
2021-12-05,WK_Otorohanga,0
2021-12-05,WK_TeAwamutu,0
2021-12-05,WK_Whitianga,0
