SampleLocation,DisplayName,SampleType,Latitude,Longitude,Population,region_id,Region,shp_label
AU_Eastern,Auckland East,Autosampler,-36.964212,174.780127,680000,2,Auckland,Auckland - Eastern Interceptor
AU_Rosedale,North Shore,Autosampler,-36.749115,174.71579,240000,2,Auckland,Auckland - Rosedale
AU_SouthWestern,Auckland Southwest,Autosampler,-36.967643,174.778084,120000,2,Auckland,Auckland - Southwestern Interceptor
AU_Western,Auckland West,Autosampler,-36.953251,174.777333,315000,2,Auckland,Auckland - Western Interceptor
BP_Rotorua,Rotorua,Autosampler,-38.145237,176.264511,59000,4,Bay of Plenty,Rotorua - Rotorua
CA_Christchurch,Christchurch,Autosampler,-43.530003,172.699997,368000,14,Canterbury,Christchurch - Christchurch
OT_DunedinTahuna,Dunedin (Tahuna),Autosampler,-45.905556,170.536942,84000,15,Otago,Dunedin - Tahuna
OT_Queenstown,Queenstown,Autosampler,-45.008106,168.756332,40000,15,Otago,Queenstown - Shotover
WG_MoaPoint,Wellington (Moa Point),Autosampler,-41.336052,174.811508,168000,9,Wellington,Wellington - Moa Point
WG_Porirua,Porirua,Autosampler,-41.11285,174.816101,85000,9,Wellington,Wellington - Porirua
WG_Seaview,Hutt Valley,Autosampler,-41.237408,174.905502,133000,9,Wellington,Wellington - Seaview
