SampleLocation,WeekEndDate,filename,BA.4/BA.5,BA.2.75*,BQ.1.1,XBB,BA.2
NO_Whangarei,2022-11-06,data/ww_variants/week_44.xlsx,0,0,100,0,0
AU_Rosedale,2022-10-30,data/ww_variants/week_44.xlsx,50,50,0,0,0
AU_Rosedale,2022-11-06,data/ww_variants/week_44.xlsx,50,50,0,0,0
AU_Eastern,2022-11-06,data/ww_variants/week_44.xlsx,100,0,0,0,0
AU_SouthWestern,2022-11-06,data/ww_variants/week_44.xlsx,100,0,0,0,0
AU_Western,2022-11-06,data/ww_variants/week_44.xlsx,100,0,0,0,0
BP_TeMaunga,2022-11-06,data/ww_variants/week_44.xlsx,100,0,0,0,0
BP_Tauranga,2022-11-06,data/ww_variants/week_44.xlsx,100,0,0,0,0
BP_Rotorua,2022-11-06,data/ww_variants/week_44.xlsx,100,0,0,0,0
WK_Taupo,2022-11-06,data/ww_variants/week_44.xlsx,100,0,0,0,0
GI_Gisborne,2022-11-06,data/ww_variants/week_44.xlsx,0,100,0,0,0
TK_NewPlymouth,2022-11-06,data/ww_variants/week_44.xlsx,NA,NA,NA,NA,0
MW_PalmerstonNorth,2022-11-06,data/ww_variants/week_44.xlsx,50,50,0,0,0
WG_Porirua,2022-11-06,data/ww_variants/week_44.xlsx,NA,NA,NA,NA,0
WG_Seaview,2022-11-06,data/ww_variants/week_44.xlsx,NA,NA,NA,NA,0
WG_MoaPoint,2022-11-06,data/ww_variants/week_44.xlsx,100,0,0,0,0
NE_Nelson,2022-11-06,data/ww_variants/week_44.xlsx,70,0,30,0,0
CA_Christchurch,2022-11-06,data/ww_variants/week_44.xlsx,50,50,0,0,0
OT_Queenstown,2022-11-06,data/ww_variants/week_44.xlsx,73,20,0,7,0
OT_DunedinTahuna,2022-11-06,data/ww_variants/week_44.xlsx,NA,NA,NA,NA,0
OT_Mosgiel,2022-11-06,data/ww_variants/week_44.xlsx,NA,NA,NA,NA,0
ALL,2022-11-06,data/ww_variants/week_44.xlsx,78.07142857142857,19.285714285714285,2.142857142857143,0.5,0
NO_Whangarei,2022-11-13,data/ww_variants/week_45.xlsx,50,30,20,0,0
AU_Rosedale,2022-11-06,data/ww_variants/week_45.xlsx,25,75,0,0,0
AU_Eastern,2022-11-13,data/ww_variants/week_45.xlsx,NA,NA,NA,NA,0
AU_SouthWestern,2022-11-13,data/ww_variants/week_45.xlsx,NA,NA,NA,NA,0
AU_Western,2022-11-13,data/ww_variants/week_45.xlsx,100,0,0,0,0
BP_TeMaunga,2022-11-13,data/ww_variants/week_45.xlsx,74,23,3,0,0
BP_Tauranga,2022-11-13,data/ww_variants/week_45.xlsx,NA,NA,NA,NA,0
BP_Rotorua,2022-11-13,data/ww_variants/week_45.xlsx,50,0,0,50,0
WK_Taupo,2022-11-13,data/ww_variants/week_45.xlsx,0,0,100,0,0
GI_Gisborne,2022-11-13,data/ww_variants/week_45.xlsx,19,81,0,0,0
TK_NewPlymouth,2022-11-13,data/ww_variants/week_45.xlsx,NA,NA,NA,NA,0
MW_PalmerstonNorth,2022-11-13,data/ww_variants/week_45.xlsx,0,100,0,0,0
WG_Porirua,2022-11-13,data/ww_variants/week_45.xlsx,100,NA,NA,NA,0
WG_Seaview,2022-11-13,data/ww_variants/week_45.xlsx,0,0,58,42,0
WG_MoaPoint,2022-11-13,data/ww_variants/week_45.xlsx,47,12,41,0,0
NE_Nelson,2022-11-13,data/ww_variants/week_45.xlsx,100,0,0,0,0
CA_Christchurch,2022-11-13,data/ww_variants/week_45.xlsx,100,0,0,0,0
OT_Queenstown,2022-11-13,data/ww_variants/week_45.xlsx,68,13,13,6,0
OT_DunedinTahuna,2022-11-13,data/ww_variants/week_45.xlsx,NA,NA,NA,NA,0
OT_Mosgiel,2022-11-13,data/ww_variants/week_45.xlsx,100,0,0,0,0
ALL,2022-11-13,data/ww_variants/week_45.xlsx,55.53333333333333,23.857142857142858,16.785714285714285,7,0
NO_Whangarei,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,0,NA,NA,NA,100
AU_Mangere,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,4,NA,NA,NA,96
AU_SouthWestern,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,0,NA,NA,NA,100
AU_Eastern,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,0,NA,NA,NA,100
AU_Western,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,0,NA,NA,NA,100
AU_Rosedale,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,3.5,NA,NA,NA,96.5
BP_Tauranga,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,0,NA,NA,NA,100
BP_TeMaunga,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,0,NA,NA,NA,100
BP_Rotorua,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,0,NA,NA,NA,100
WK_Taupo,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,0,NA,NA,NA,100
TK_NewPlymouth,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,25,NA,NA,NA,75
MW_PalmerstonNorth,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,5,NA,NA,NA,95
WG_MoaPoint,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,3,NA,NA,NA,97
WG_Porirua,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,10,NA,NA,NA,90
WG_Seaview,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,0,NA,NA,NA,100
NE_Nelson,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,0,NA,NA,NA,100
CA_Christchurch,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,0,NA,NA,NA,100
OT_Queenstown,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,0,NA,NA,NA,100
OT_DunedinTahuna,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,0,NA,NA,NA,100
OT_Mosgiel,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,0,NA,NA,NA,93.5
ALL,2022-06-12,data/ww_variants/week23_variant_graph.xlsx,2.8095238095238093,NA,NA,NA,96.88095238095238
NO_Whangarei,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,0,NA,NA,NA,100
AU_Mangere,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,14,NA,NA,NA,86
AU_Rosedale,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,25,NA,NA,NA,75
AU_Eastern,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,5,NA,NA,NA,95
AU_SouthWestern,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,0,NA,NA,NA,100
AU_Western,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,29,NA,NA,NA,70
BP_TeMaunga,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,0,NA,NA,NA,99
BP_Tauranga,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,19,NA,NA,NA,81
BP_Rotorua,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,0,NA,NA,NA,100
WK_Taupo,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,1,NA,NA,NA,99
GI_Gisborne,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,0,NA,NA,NA,100
TK_NewPlymouth,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,0,NA,NA,NA,100
MW_PalmerstonNorth,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,10,NA,NA,NA,90
WG_Porirua,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,0,NA,NA,NA,100
WG_Seaview,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,0,NA,NA,NA,100
WG_MoaPoint,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,12.5,NA,NA,NA,87.5
NE_Nelson,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,0,NA,NA,NA,100
CA_Christchurch,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,0,NA,NA,NA,100
OT_Queenstown,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,16,NA,NA,NA,84
OT_DunedinTahuna,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,0,NA,NA,NA,90
OT_Mosgiel,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,0,NA,NA,NA,100
ALL,2022-06-19,data/ww_variants/week24_WLJ603074.xlsx,6.261904761904762,NA,NA,NA,93.16666666666667
NO_Whangarei,2022-06-26,data/ww_variants/week25_variant data.xlsx,16,NA,NA,NA,84
AU_Mangere,2022-06-26,data/ww_variants/week25_variant data.xlsx,28,NA,NA,NA,72
AU_Rosedale,2022-06-26,data/ww_variants/week25_variant data.xlsx,20,NA,NA,NA,80
