region_id,DisplayName,variant,seen,detected
1,Whangarei,BA.2.75,TRUE,TRUE
1,Whangarei,BA.2.86,NA,FALSE
1,Whangarei,CH.1.1,TRUE,TRUE
1,Whangarei,EG.5,TRUE,TRUE
1,Whangarei,HK.3,TRUE,TRUE
1,Whangarei,Recombinant,NA,FALSE
1,Whangarei,XBB,TRUE,TRUE
1,Whangarei,XBB.1.16,NA,FALSE
1,Whangarei,XBB.1.5,TRUE,TRUE
1,Whangarei,XBC,TRUE,TRUE
2,North Shore,BA.2.75,NA,FALSE
2,North Shore,BA.2.86,TRUE,TRUE
2,North Shore,CH.1.1,NA,FALSE
2,North Shore,EG.5,TRUE,TRUE
2,North Shore,HK.3,TRUE,TRUE
2,North Shore,Recombinant,TRUE,TRUE
2,North Shore,XBB,TRUE,TRUE
2,North Shore,XBB.1.16,TRUE,TRUE
2,North Shore,XBB.1.5,TRUE,TRUE
2,North Shore,XBC,TRUE,TRUE
2,Auckland West,BA.2.75,TRUE,TRUE
2,Auckland West,BA.2.86,NA,FALSE
2,Auckland West,CH.1.1,TRUE,TRUE
2,Auckland West,EG.5,TRUE,TRUE
2,Auckland West,HK.3,TRUE,TRUE
2,Auckland West,Recombinant,TRUE,TRUE
2,Auckland West,XBB,TRUE,TRUE
2,Auckland West,XBB.1.16,TRUE,TRUE
2,Auckland West,XBB.1.5,TRUE,TRUE
2,Auckland West,XBC,TRUE,TRUE
2,Auckland East,BA.2.75,NA,FALSE
2,Auckland East,BA.2.86,NA,FALSE
2,Auckland East,CH.1.1,NA,FALSE
2,Auckland East,EG.5,TRUE,TRUE
2,Auckland East,HK.3,TRUE,TRUE
2,Auckland East,Recombinant,NA,FALSE
2,Auckland East,XBB,NA,FALSE
2,Auckland East,XBB.1.16,NA,FALSE
2,Auckland East,XBB.1.5,TRUE,TRUE
2,Auckland East,XBC,TRUE,TRUE
2,Auckland Southwest,BA.2.75,TRUE,TRUE
2,Auckland Southwest,BA.2.86,NA,FALSE
2,Auckland Southwest,CH.1.1,TRUE,TRUE
2,Auckland Southwest,EG.5,TRUE,TRUE
2,Auckland Southwest,HK.3,TRUE,TRUE
2,Auckland Southwest,Recombinant,NA,FALSE
2,Auckland Southwest,XBB,TRUE,TRUE
2,Auckland Southwest,XBB.1.16,TRUE,TRUE
2,Auckland Southwest,XBB.1.5,TRUE,TRUE
2,Auckland Southwest,XBC,TRUE,TRUE
3,Hamilton,BA.2.75,NA,FALSE
3,Hamilton,BA.2.86,NA,FALSE
3,Hamilton,CH.1.1,NA,FALSE
3,Hamilton,EG.5,TRUE,TRUE
3,Hamilton,HK.3,NA,FALSE
3,Hamilton,Recombinant,NA,FALSE
3,Hamilton,XBB,NA,FALSE
3,Hamilton,XBB.1.16,TRUE,TRUE
3,Hamilton,XBB.1.5,TRUE,TRUE
3,Hamilton,XBC,TRUE,TRUE
3,Taupo,BA.2.75,NA,FALSE
3,Taupo,BA.2.86,NA,FALSE
3,Taupo,CH.1.1,NA,FALSE
3,Taupo,EG.5,TRUE,TRUE
3,Taupo,HK.3,TRUE,TRUE
3,Taupo,Recombinant,TRUE,TRUE
3,Taupo,XBB,NA,FALSE
3,Taupo,XBB.1.16,TRUE,TRUE
3,Taupo,XBB.1.5,NA,FALSE
3,Taupo,XBC,TRUE,TRUE
4,Mt Maunganui/Papamoa,BA.2.75,NA,FALSE
4,Mt Maunganui/Papamoa,BA.2.86,NA,FALSE
4,Mt Maunganui/Papamoa,CH.1.1,NA,FALSE
4,Mt Maunganui/Papamoa,EG.5,TRUE,TRUE
4,Mt Maunganui/Papamoa,HK.3,TRUE,TRUE
4,Mt Maunganui/Papamoa,Recombinant,NA,FALSE
4,Mt Maunganui/Papamoa,XBB,TRUE,TRUE
4,Mt Maunganui/Papamoa,XBB.1.16,NA,FALSE
4,Mt Maunganui/Papamoa,XBB.1.5,TRUE,TRUE
4,Mt Maunganui/Papamoa,XBC,TRUE,TRUE
4,Rotorua,BA.2.75,NA,FALSE
4,Rotorua,BA.2.86,NA,FALSE
4,Rotorua,CH.1.1,TRUE,TRUE
4,Rotorua,EG.5,TRUE,TRUE
4,Rotorua,HK.3,TRUE,TRUE
4,Rotorua,Recombinant,TRUE,TRUE
4,Rotorua,XBB,TRUE,TRUE
4,Rotorua,XBB.1.16,TRUE,TRUE
4,Rotorua,XBB.1.5,TRUE,TRUE
4,Rotorua,XBC,TRUE,TRUE
5,Gisborne,BA.2.75,NA,FALSE
5,Gisborne,BA.2.86,NA,FALSE
5,Gisborne,CH.1.1,NA,FALSE
5,Gisborne,EG.5,NA,FALSE
5,Gisborne,HK.3,NA,FALSE
5,Gisborne,Recombinant,TRUE,TRUE
5,Gisborne,XBB,TRUE,TRUE
5,Gisborne,XBB.1.16,TRUE,TRUE
5,Gisborne,XBB.1.5,TRUE,TRUE
5,Gisborne,XBC,TRUE,TRUE
6,Hastings,BA.2.75,NA,FALSE
6,Hastings,BA.2.86,NA,FALSE
6,Hastings,CH.1.1,NA,FALSE
6,Hastings,EG.5,TRUE,TRUE
6,Hastings,HK.3,TRUE,TRUE
6,Hastings,Recombinant,TRUE,TRUE
6,Hastings,XBB,TRUE,TRUE
6,Hastings,XBB.1.16,NA,FALSE
6,Hastings,XBB.1.5,TRUE,TRUE
6,Hastings,XBC,TRUE,TRUE
