SampleLocation,sars_gcl,Collected,Result,copies_per_day_per_person
AU_ArmyBay,0,2021-08-17,Not detected,0
AU_ArmyBay,0,2021-09-02,Not detected,0
AU_ArmyBay,0,2021-09-14,Not detected,0
AU_ArmyBay,0,2021-09-16,Not detected,0
AU_ArmyBay,0,2021-09-21,Not detected,0
AU_ArmyBay,0,2021-09-23,Not detected,0
AU_ArmyBay,0,2021-09-28,Not detected,0
AU_ArmyBay,0,2021-09-30,Not detected,0
AU_ArmyBay,500,2021-10-05,Detected,134070
AU_ArmyBay,0,2021-10-07,Not detected,0
AU_ArmyBay,500,2021-10-12,Detected,134070
AU_ArmyBay,9012.31,2021-10-14,Detected,2416564
AU_ArmyBay,6117.02,2021-10-19,Detected,1640220
AU_ArmyBay,2257.25,2021-10-21,Detected,605259
AU_ArmyBay,776.05,2021-10-26,Detected,208090
AU_ArmyBay,1039.89,2021-11-02,Detected,278836
AU_ArmyBay,1249.1,2021-11-04,Detected,334934
AU_ArmyBay,2971.61,2021-11-11,Detected,796808
AU_ArmyBay,0,2021-11-16,Not detected,0
AU_ArmyBay,2600.35,2021-11-23,Detected,697258
AU_ArmyBay,500,2021-11-30,Detected,134070
AU_ArmyBay,0,2021-12-07,Not detected,0
AU_ArmyBay,500,2021-12-14,Detected,134070
AU_ArmyBay,500,2021-12-29,Detected,134070
AU_ArmyBay,0,2022-01-11,Not detected,0
AU_ArmyBay,0,2022-01-25,Not detected,0
AU_ArmyBay,0,2022-02-01,Not detected,0
AU_ArmyBay,0,2022-02-08,Not detected,0
AU_ArmyBay,1133.61,2022-02-15,Detected,303966
AU_ArmyBay,500,2022-02-22,Detected,134070
AU_ArmyBay,21249.89,2022-02-24,Detected,5697953
AU_ArmyBay,30291.73,2022-03-01,Detected,8122435
AU_ArmyBay,171569.56,2022-03-04,Detected,46004726
AU_ArmyBay,126930.25,2022-03-08,Detected,34035125
AU_ArmyBay,64868.1,2022-03-11,Detected,17393756
AU_ArmyBay,19854.95,2022-03-18,Detected,5323913
AU_ArmyBay,0,2022-03-25,Not detected,0
AU_ArmyBay,27749.88,2022-04-01,Detected,7440863
AU_ArmyBay,19712.84,2022-04-05,Detected,5285808
AU_ArmyBay,7766.19,2022-04-08,Detected,2082429
AU_ArmyBay,22019.16,2022-06-14,Detected,5904225
AU_ArmyBay,56736.48,2022-07-19,Detected,15213341
AU_ArmyBay,11397.68,2022-08-30,Detected,3056178
