week_end_date,Region,copies_per_day_per_person,population_covered,n_sites
2021-06-06,Auckland,10515,1355000,4
2021-06-06,Bay of Plenty,0,59000,1
2021-06-06,Canterbury,0,368000,1
2021-06-06,Waikato,0,169000,1
2021-06-06,Wellington,0,400000,4
2021-06-13,Auckland,11024,1355000,4
2021-06-13,Canterbury,194956,368000,1
2021-06-13,Otago,0,40000,1
2021-06-13,Waikato,0,169000,1
2021-06-13,Wellington,0,386000,3
2021-06-20,Auckland,10515,1355000,4
2021-06-20,Bay of Plenty,0,59000,1
2021-06-20,Canterbury,97478,368000,1
2021-06-20,Otago,0,40000,1
2021-06-20,Waikato,0,169000,1
2021-06-20,Wellington,0,386000,3
2021-06-27,Auckland,17882,1355000,4
2021-06-27,Bay of Plenty,0,59000,1
2021-06-27,Canterbury,0,368000,1
2021-06-27,Otago,0,40000,1
2021-06-27,Waikato,0,169000,1
2021-06-27,Wellington,0,449000,5
2021-07-04,Auckland,5257,1355000,4
2021-07-04,Bay of Plenty,0,59000,1
2021-07-04,Canterbury,0,368000,1
2021-07-04,Otago,0,40000,1
2021-07-04,Waikato,0,169000,1
2021-07-04,Wellington,0,449000,5
2021-07-11,Auckland,10515,1355000,4
2021-07-11,Bay of Plenty,0,59000,1
2021-07-11,Canterbury,0,368000,1
2021-07-11,Otago,0,40000,1
2021-07-11,Waikato,0,169000,1
2021-07-11,Wellington,0,386000,3
2021-07-18,Auckland,10515,1355000,4
2021-07-18,Bay of Plenty,0,59000,1
2021-07-18,Canterbury,0,368000,1
2021-07-18,Gisborne,0,37000,1
2021-07-18,Hawke's Bay,0,55000,1
2021-07-18,Manawatu-Whanganui,0,90000,1
2021-07-18,Nelson,0,26000,1
2021-07-18,Northland,0,65000,1
2021-07-18,Otago,0,124000,2
2021-07-18,Southland,0,50000,1
2021-07-18,Taranaki,0,88000,1
2021-07-18,Waikato,0,192000,2
2021-07-18,Wellington,91050,386000,3
2021-07-25,Auckland,28830,1355000,4
2021-07-25,Bay of Plenty,0,59000,1
2021-07-25,Canterbury,0,368000,1
2021-07-25,Gisborne,0,37000,1
2021-07-25,Hawke's Bay,0,55000,1
2021-07-25,Manawatu-Whanganui,0,90000,1
2021-07-25,Nelson,0,26000,1
2021-07-25,Northland,0,65000,1
2021-07-25,Otago,0,124000,2
2021-07-25,Southland,0,50000,1
2021-07-25,Taranaki,84828,88000,1
2021-07-25,Waikato,0,192000,2
2021-07-25,Wellington,0,386000,3
2021-08-01,Auckland,5257,1355000,4
2021-08-01,Bay of Plenty,0,59000,1
2021-08-01,Canterbury,0,368000,1
2021-08-01,Gisborne,0,37000,1
2021-08-01,Hawke's Bay,0,55000,1
2021-08-01,Manawatu-Whanganui,0,90000,1
2021-08-01,Nelson,0,26000,1
2021-08-01,Northland,0,65000,1
2021-08-01,Otago,0,124000,2
2021-08-01,Southland,0,50000,1
2021-08-01,Taranaki,0,109900,3
2021-08-01,Waikato,0,192000,2
2021-08-01,Wellington,0,386000,3
2021-08-08,Auckland,0,1355000,4
2021-08-08,Bay of Plenty,0,59000,1
2021-08-08,Canterbury,194956,368000,1
2021-08-08,Gisborne,0,37000,1
2021-08-08,Hawke's Bay,0,55000,1
2021-08-08,Manawatu-Whanganui,0,90000,1
2021-08-08,Nelson,0,26000,1
2021-08-08,Northland,0,65000,1
2021-08-08,Otago,0,124000,2
2021-08-08,Southland,0,50000,1
2021-08-08,Taranaki,0,88000,1
2021-08-08,Waikato,0,192000,2
2021-08-08,Wellington,0,386000,3
2021-08-15,Auckland,7010,1355000,4
2021-08-15,Bay of Plenty,0,174000,3
2021-08-15,Canterbury,0,368000,1
2021-08-15,Gisborne,0,37000,1
2021-08-15,Hawke's Bay,0,55000,1
2021-08-15,Manawatu-Whanganui,0,90000,1
2021-08-15,Nelson,0,26000,1
2021-08-15,Northland,0,65000,1
2021-08-15,Otago,0,124000,2
2021-08-15,Southland,0,50000,1
2021-08-15,Taranaki,0,88000,1
2021-08-15,Waikato,0,192000,2
2021-08-15,Wellington,0,386000,3
2021-08-22,Auckland,234992,1417780,11
2021-08-22,Bay of Plenty,0,184800,5
2021-08-22,Canterbury,61955,386000,2
2021-08-22,Gisborne,0,37000,1
2021-08-22,Hawke's Bay,0,66260,4
2021-08-22,Manawatu-Whanganui,0,155700,3
2021-08-22,Marlborough,0,36000,2
2021-08-22,Nelson,0,26000,1
2021-08-22,Northland,0,65000,1
2021-08-22,Otago,0,138500,3
2021-08-22,Southland,0,58000,2
2021-08-22,Taranaki,0,88000,1
2021-08-22,Waikato,0,224100,6
2021-08-22,Wellington,72020,420700,5
2021-08-22,West Coast,0,6000,2
2021-08-29,Auckland,513895,1386120,9
2021-08-29,Bay of Plenty,0,218920,9
2021-08-29,Canterbury,146565,489500,10
2021-08-29,Gisborne,0,37000,1
2021-08-29,Hawke's Bay,0,139400,3
2021-08-29,Manawatu-Whanganui,0,155700,3
2021-08-29,Marlborough,0,36000,2
2021-08-29,Nelson,0,86000,2
2021-08-29,Northland,0,101820,18
2021-08-29,Otago,0,205400,9
2021-08-29,Southland,0,60000,3
2021-08-29,Taranaki,0,114750,8
2021-08-29,Tasman,0,8300,1
2021-08-29,Waikato,0,271600,10
2021-08-29,Wellington,107016,479000,8
2021-08-29,West Coast,0,18900,4
2021-09-05,Auckland,189100,1427120,9
2021-09-05,Bay of Plenty,49288,225920,10
2021-09-05,Canterbury,0,479100,10
2021-09-05,Gisborne,0,37000,1
2021-09-05,Hawke's Bay,0,146260,5
2021-09-05,Manawatu-Whanganui,0,150500,3
2021-09-05,Marlborough,0,36000,2
2021-09-05,Nelson,0,26000,1
2021-09-05,Northland,0,105920,18
2021-09-05,Otago,0,190900,8
2021-09-05,Southland,0,52000,2
2021-09-05,Taranaki,0,114750,8
2021-09-05,Tasman,0,8300,1
2021-09-05,Waikato,0,275000,11
2021-09-05,Wellington,24330,481500,9
2021-09-05,West Coast,0,18900,4
2021-09-12,Auckland,375060,1385120,8
2021-09-12,Bay of Plenty,0,201100,8
2021-09-12,Canterbury,0,496200,10
2021-09-12,Gisborne,0,37000,1
2021-09-12,Hawke's Bay,0,141860,4
2021-09-12,Manawatu-Whanganui,0,171700,4
2021-09-12,Marlborough,0,36000,2
2021-09-12,Nelson,0,26000,1
2021-09-12,Northland,0,105020,17
2021-09-12,Otago,0,190900,8
2021-09-12,Southland,0,60000,3
2021-09-12,Taranaki,0,112500,5
